No,Food,Glycemic Index (GI),Glycemic Load (GL),Remarks
1,Almonds,15,0,"Safe to Eat for Diabetes"
2,Aloo gobi,50,10,"Eat only in Moderation"
3,Aloo Matar,55,14,"Eat only in Moderation"
4,Aloo paratha,65,20,"Eat only in Moderation"
5,Aloo Tikki,70,20,"Eat only in Moderation"
6,Apple,36,5,"Safe to Eat for Diabetes"
7,Apricots,34,3,"Safe to Eat for Diabetes"
8,Asparagus,15,0,"Safe to Eat for Diabetes"
9,Baingan Bharta,40,9,"Safe to Eat for Diabetes"
10,Bajra roti,55,12,"Eat only in Moderation"
11,Banana,51,13,"Eat only in Moderation"
12,Basmati rice,58,22,"Eat only in Moderation"
13,Beef, lean,0,0,"Safe to Eat for Diabetes"
14,Beer,66,14,"Eat only in Moderation"
15,Beetroot,64,5,"Eat only in Moderation"
16,Bell pepper,15,0,"Safe to Eat for Diabetes"
17,Besan Ladoo,70,20,"Eat only in Moderation"
18,Bhatura,75,22,"Should be avoided in Diabetes"
19,Bhelpuri,65,15,"Eat only in Moderation"
20,Bhindi Fry,40,6,"Safe to Eat for Diabetes"
21,Bhindi Masala,40,9,"Safe to Eat for Diabetes"
22,Biryani,60,24,"Eat only in Moderation"
23,Biscuit,62,8,"Eat only in Moderation"
24,Black beans,30,7,"Safe to Eat for Diabetes"
25,Blackberries,25,2,"Safe to Eat for Diabetes"
26,Blueberries,53,6,"Safe to Eat for Diabetes"
27,Boysenberries,25,3,"Safe to Eat for Diabetes"
28,Bread Pakoda,70,25,"Eat only in Moderation"
29,Broccoli,10,0,"Safe to Eat for Diabetes"
30,Brown rice, boiled,68,16,"Eat only in Moderation"
31,Brussels sprouts,15,0,"Safe to Eat for Diabetes"
32,Bulgur,48,12,"Eat only in Moderation"
33,Burger,30,8,"Safe to Eat for Diabetes"
34,Butter,0,0,"Safe to Eat for Diabetes"
35,Butter chicken,55,12,"Eat only in Moderation"
36,Cabbage,10,0,"Safe to Eat for Diabetes"
37,Canola oil,0,0,"Safe to Eat for Diabetes"
38,Capsicum Masala,45,11,"Eat only in Moderation"
39,Carrots,39,2,"Safe to Eat for Diabetes"
40,Cashews,22,3,"Safe to Eat for Diabetes"
41,Cauliflower,15,1,"Safe to Eat for Diabetes"
42,Celery,15,0,"Safe to Eat for Diabetes"
43,Chana Bhature,65,20,"Eat only in Moderation"
44,Chana dal,8,1,"Safe to Eat for Diabetes"
45,Chana Masala,30,8,"Safe to Eat for Diabetes"
46,Chapati,62,15,"Eat only in Moderation"
47,Chawli Masala,45,11,"Eat only in Moderation"
48,Cheese, cheddar,0,0,"Safe to Eat for Diabetes"
49,Cheese, cottage,0,0,"Safe to Eat for Diabetes"
50,Cheese, mozzarella,0,0,"Safe to Eat for Diabetes"
51,Cheese, swiss,0,0,"Safe to Eat for Diabetes"
52,Cherries,22,3,"Safe to Eat for Diabetes"
53,Chicken Biryani,65,22,"Eat only in Moderation"
54,Chicken soup,25,3,"Safe to Eat for Diabetes"
55,Chicken tikka masala,50,10,"Eat only in Moderation"
56,Chickpeas,28,8,"Safe to Eat for Diabetes"
57,Chilli,15,0,"Safe to Eat for Diabetes"
58,Chole bhature,60,15,"Eat only in Moderation"
59,Coconut,45,5,"Safe to Eat for Diabetes"
60,Coconut milk,41,2,"Safe to Eat for Diabetes"
61,Cod,0,0,"Safe to Eat for Diabetes"
62,Coffee (without sugar),0,0,"Safe to Eat for Diabetes"
63,Coke,63,16,"Eat only in Moderation"
64,Corn,55,9,"Eat only in Moderation"
65,Corn chips,42,11,"Eat only in Moderation"
66,Corn flakes,81,20,"Eat only in Moderation"
67,Couscous,65,15,"Eat only in Moderation"
68,Cranberries,45,3,"Safe to Eat for Diabetes"
69,Cucumber,15,1,"Safe to Eat for Diabetes"
70,Dal,29,5,"Safe to Eat for Diabetes"
71,Dal Fry,50,13,"Eat only in Moderation"
72,Dal makhani,40,9,"Safe to Eat for Diabetes"
